username,password,firstname,lastname,email,idnumber
jsmith,JohnSmith#1,John,Smith,jsmith@cmput401.ca,10000
tleung,TerenceLeung#1,Terence,Leung,tleung@cmput401.ca,10001
rsatyabrata,RyanSatyabrata#1,Ryan,Satyabrata,rsatyabrata@cmput401.ca,10002
ljin,LixinJin#1,Lixin,Jin,ljin@cmput401.ca,10003
ehill,ElyseHill#1,Elyse,Hill,ehill@cmput401.ca,10004
jkim,JaeyoonKim#1,Jaeyoon,Kim,jkim@cmput401.ca,10005
plee,PeterLee#1,Peter,Lee,plee@cmput401.ca,10006
jedwards,JonathanEdwards#1,Jonathan,Edwards,jedwards@cmput401.ca,10007
mjohnson,MarilynJohnson#1,Marilyn,Johnson,mjohnson@cmput401.ca,10008
hmartinez,HaleyMartinez#1,Haley,Martinez,hmartinez@cmput401.ca,10009
jmfume,JohnMfume#1,John,Mfume,jmfume@cmput401.ca,10010
dletty,DavidLetty#1,David,Letty,dletty@cmput401.ca,10011
bobama,BarackObama#1,Barack,Obama,bobama@cmput401.ca,10012
